phi	TadV	TadVdiss	TadP	TadPdiss
0.25	1043.157508	0.000000	1261.370167	0.000000
0.26	1067.521130	0.000000	1292.056369	0.000000
0.27	1091.518081	0.000000	1322.280725	0.000000
0.28	1115.214481	0.000000	1352.024200	0.000000
0.29	1138.616342	0.000000	1381.351914	0.000000
0.30	1161.700621	0.000000	1410.244832	0.000000
0.31	1184.470324	0.000000	1438.736014	0.000000
0.32	1206.990570	0.000000	1466.806425	0.000000
0.33	1229.208262	0.000000	1494.488124	0.000000
0.34	1251.154456	0.000000	1521.817178	0.000000
0.35	1272.835165	0.000000	1548.768539	0.000000
0.36	1294.254394	0.000000	1575.377273	0.000000
0.37	1315.443202	0.000000	1601.617332	0.000000
0.38	1336.347488	0.000000	1627.522778	0.000000
0.39	1357.029367	0.000000	1653.122665	0.000000
0.40	1377.462791	0.000000	1678.394951	0.000000
0.41	1397.677815	0.000000	1703.370694	0.000000
0.42	1417.662417	0.000000	1727.994794	0.000000
0.43	1437.422608	0.000000	1752.355410	0.000000
0.44	1456.958388	0.000000	1776.426497	0.000000
0.45	1476.299812	0.000000	1800.208053	0.000000
0.46	1495.406807	0.000000	1823.681044	0.000000
0.47	1514.338480	0.000000	1846.924615	0.000000
0.48	1533.039732	0.000000	1869.857617	0.000000
0.49	1551.569669	0.000000	1892.567209	0.000000
0.50	1569.899240	0.000000	1914.997290	0.000000
0.51	1588.030448	0.000000	1937.178916	0.000000
0.52	1605.971307	0.000000	1959.112087	0.000000
0.53	1623.742855	0.000000	1980.798806	0.000000
0.54	1641.321050	0.000000	2002.236069	0.000000
0.55	1658.735945	0.000000	2023.462946	0.000000
0.56	1675.967505	0.000000	2044.447379	0.000000
0.57	1693.049792	0.000000	2065.219424	0.000000
0.58	1709.953751	0.000000	2085.751027	0.000000
0.59	1726.682390	0.000000	2106.099295	0.000000
0.60	1743.252739	0.000000	2126.209127	0.000000
0.61	1759.675818	0.000000	2146.109575	0.000000
0.62	1775.920570	0.000000	2165.807652	0.000000
0.63	1792.033080	0.000000	2185.313377	0.000000
0.64	1807.977282	0.000000	2204.617733	0.000000
0.65	1823.765198	0.000000	2223.715711	0.000000
0.66	1839.422875	0.000000	2242.635362	0.000000
0.67	1854.936288	0.000000	2261.349638	0.000000
0.68	1870.305437	0.000000	2279.886588	0.000000
0.69	1885.522307	0.000000	2298.247216	0.000000
0.70	1900.599921	0.000000	2316.432523	0.000000
0.71	1915.550303	0.000000	2334.414457	0.000000
0.72	1930.347404	0.000000	2352.249121	0.000000
0.73	1945.041316	0.000000	2369.909466	0.000000
0.74	1959.585955	0.000000	2387.394490	0.000000
0.75	1974.008370	0.000000	2404.707198	0.000000
0.76	1988.281511	0.000000	2421.846589	0.000000
0.77	2002.456473	0.000000	2438.839712	0.000000
0.78	2016.491177	0.000000	2455.688571	0.000000
0.79	2030.404660	0.000000	2472.365114	0.000000
0.80	2044.203933	0.000000	2488.869342	0.000000
0.81	2057.898014	0.000000	2505.257357	0.000000
0.82	2071.455846	0.000000	2521.474058	0.000000
0.83	2084.892455	0.000000	2537.547497	0.000000
0.84	2098.238899	0.000000	2553.464649	0.000000
0.85	2111.460114	0.000000	2569.237537	0.000000
0.86	2124.578140	0.000000	2584.882190	0.000000
