phi	TadV	TadVdiss	TadP	TadPdiss
0.25	1035.713875	0.000000	1251.714482	0.000000
0.26	1059.773941	0.000000	1282.055051	0.000000
0.27	1083.529450	0.000000	1311.934776	0.000000
0.28	1106.979398	0.000000	1341.362674	0.000000
0.29	1130.086720	0.000000	1370.375811	0.000000
0.30	1152.909520	0.000000	1398.923096	0.000000
0.31	1175.435777	0.000000	1427.100703	0.000000
0.32	1197.682522	0.000000	1454.855537	0.000000
0.33	1219.660775	0.000000	1482.222660	0.000000
0.34	1241.339480	0.000000	1509.207082	0.000000
0.35	1262.774739	0.000000	1535.843868	0.000000
0.36	1283.933491	0.000000	1562.108972	0.000000
0.37	1304.854809	0.000000	1588.033453	0.000000
0.38	1325.522662	0.000000	1613.623321	0.000000
0.39	1345.937052	0.000000	1638.908632	0.000000
0.40	1366.133041	0.000000	1663.838290	0.000000
0.41	1386.081577	0.000000	1688.469403	0.000000
0.42	1405.814718	0.000000	1712.835028	0.000000
0.43	1425.309423	0.000000	1736.852016	0.000000
0.44	1444.592740	0.000000	1760.608526	0.000000
0.45	1463.668678	0.000000	1784.048456	0.000000
0.46	1482.538238	0.000000	1807.232919	0.000000
0.47	1501.204425	0.000000	1830.132860	0.000000
0.48	1519.668242	0.000000	1852.779338	0.000000
0.49	1537.932693	0.000000	1875.146303	0.000000
0.50	1556.025831	0.000000	1897.261808	0.000000
0.51	1573.893556	0.000000	1919.128857	0.000000
0.52	1591.594976	0.000000	1940.748454	0.000000
0.53	1609.129090	0.000000	1962.147647	0.000000
0.54	1626.466844	0.000000	1983.274340	0.000000
0.55	1643.620261	0.000000	2004.181632	0.000000
0.56	1660.607373	0.000000	2024.851489	0.000000
0.57	1677.433190	0.000000	2045.307956	0.000000
0.58	1694.097711	0.000000	2065.552033	0.000000
0.59	1710.583905	0.000000	2085.584723	0.000000
0.60	1726.922830	0.000000	2105.379978	0.000000
0.61	1743.083429	0.000000	2124.992899	0.000000
0.62	1759.104772	0.000000	2144.369387	0.000000
0.63	1774.963818	0.000000	2163.565545	0.000000
0.64	1790.672589	0.000000	2182.581373	0.000000
0.65	1806.221066	0.000000	2201.364775	0.000000
0.66	1821.632292	0.000000	2219.995898	0.000000
0.67	1836.900255	0.000000	2238.395597	0.000000
0.68	1852.022952	0.000000	2256.644019	0.000000
0.69	1867.005393	0.000000	2274.701091	0.000000
0.70	1881.858597	0.000000	2292.586849	0.000000
0.71	1896.563529	0.000000	2310.280255	0.000000
0.72	1911.145235	0.000000	2327.806354	0.000000
0.73	1925.575665	0.000000	2345.171158	0.000000
0.74	1939.899900	0.000000	2362.368655	0.000000
0.75	1954.073859	0.000000	2379.392835	0.000000
0.76	1968.134612	0.000000	2396.243697	0.000000
0.77	1982.076146	0.000000	2412.949294	0.000000
0.78	1995.872414	0.000000	2429.482575	0.000000
0.79	2009.561486	0.000000	2445.870589	0.000000
0.80	2023.129335	0.000000	2462.114340	0.000000
0.81	2036.580972	0.000000	2478.185775	0.000000
0.82	2049.913390	0.000000	2494.131981	0.000000
0.83	2063.140616	0.000000	2509.919896	0.000000
0.84	2076.249625	0.000000	2525.568557	0.000000
0.85	2089.240418	0.000000	2541.066942	0.000000
0.86	2102.113996	0.000000	2556.423067	0.000000
0.87	2114.897409	0.000000	2571.635930	0.000000
0.88	2127.564609	0.000000	2586.733581	0.000000
0.89	2140.137637	0.000000	2601.663926	0.000000
0.90	2152.590444	0.000000	2616.486073	0.000000
0.91	2164.946074	0.000000	2631.178983	0.000000
0.92	2177.201520	0.000000	2645.738650	0.000000
0.93	2189.340753	0.000000	2660.156055	0.000000
0.94	2201.401843	0.000000	2674.460253	0.000000
0.95	2213.354735	0.000000	2688.651244	0.000000
0.96	2225.227480	0.000000	2702.700977	0.000000
0.97	2236.991025	0.000000	2716.638503	0.000000
0.98	2248.663403	0.000000	2730.444790	0.000000
0.99	2260.225579	0.000000	2744.145883	0.000000
1.00	2271.719630	2271.719881	2757.726757	2757.727048
1.01	2267.318570	2261.321982	2751.423212	2745.855496
1.02	2262.936544	2251.073506	2745.170760	2734.046152
1.03	2258.570548	2240.980138	2738.933336	2722.287666
1.04	2254.222584	2230.628828	2732.715949	2710.742659
1.05	2249.892654	2220.492142	2726.524610	2699.114980
1.06	2245.580757	2210.405581	2720.386368	2687.265280
1.07	2241.285891	2200.371832	2714.256140	2675.683224
1.08	2236.996034	2190.030233	2708.161978	2664.174368
1.09	2232.750258	2180.465818	2702.102881	2652.703055
1.10	2228.494463	2170.596145	2696.054804	2641.738870
1.11	2224.266720	2160.774112	2690.036782	2630.416560
1.12	2220.050999	2150.430341	2684.056830	2618.058149
1.13	2215.863329	2140.666018	2678.103927	2607.326076
1.14	2211.673656	2130.945876	2672.176070	2596.106764
1.15	2207.512034	2121.978005	2666.275263	2584.255474
1.16	2203.368445	2112.415639	2660.400503	2573.817438
1.17	2199.240885	2102.899680	2654.552793	2563.566970
1.18	2195.124346	2092.593936	2648.731130	2551.732531
1.19	2191.022834	2083.142125	2642.935516	2539.919194
1.20	2186.940356	2073.727563	2637.166950	2528.951991
1.21	2182.866896	2065.319323	2631.424433	2518.990082
1.22	2178.820485	2055.043976	2625.695941	2509.216560
1.23	2174.773072	2046.806256	2619.997504	2497.419769
1.24	2170.760723	2037.623312	2614.329123	2486.704731
1.25	2166.752382	2027.386566	2608.690796	2476.027646
1.26	2162.765079	2017.157779	2603.080521	2465.397847
1.27	2158.788797	2009.184305	2597.496293	2453.637869
1.28	2154.829545	2001.346244	2591.911064	2443.070025
1.29	2150.885321	1992.397678	2586.380935	2433.805377
1.30	2146.942099	1982.217277	2580.857820	2424.706665
1.31	2143.036947	1972.031958	2575.370770	2411.661937
1.32	2139.119773	1964.445641	2569.891735	2401.284363
1.33	2135.249685	1955.629866	2564.438748	2390.929122
1.34	2131.376591	1946.847659	2559.028840	2380.653294
1.35	2127.508507	1938.099576	2553.634961	2371.846922
1.36	2123.665468	1930.820295	2548.258113	2361.656274
1.37	2119.836455	1920.747988	2542.894289	2351.533557
1.38	2116.023472	1910.673970	2537.574546	2339.903559
1.39	2112.214495	1903.531151	2532.275841	2329.831223
1.40	2108.425556	1894.995265	2526.987155	2319.782844
1.41	2104.660661	1886.472988	2521.719507	2311.369794
1.42	2100.895765	1877.999049	2516.481915	2299.813509
1.43	2097.156917	1869.571208	2511.268366	2291.514926
1.44	2093.422077	1858.087983	2506.076858	2280.020974
1.45	2089.698257	1852.806895	2500.915405	2268.536533
1.46	2085.998481	1844.458690	2495.752949	2258.708046
1.47	2082.297703	1836.160931	2490.641588	2250.569712
1.48	2078.622972	1826.290120	2485.536237	2242.552394
1.49	2074.948242	1819.668194	2480.453929	2231.125371
1.50	2071.300561	1811.472228	2475.386648	2221.456408
1.51	2067.658891	1803.299975	2470.342410	2211.838730
1.52	2064.028242	1793.494977	2465.312197	2202.219008
1.53	2060.423640	1785.385722	2460.324061	2190.940102
1.54	2056.819038	1778.986137	2455.345944	2183.130194
1.55	2053.240484	1769.251566	2450.382854	2173.613614
1.56	2049.662932	1761.227983	2445.459837	2165.940051
1.57	2046.090389	1753.229273	2440.535819	2152.933543
1.58	2042.538884	1747.001352	2435.638850	2143.516508
1.59	2039.009420	1737.332177	2430.767929	2134.143358
1.60	2035.483963	1729.430563	2425.901015	2128.415363
1.61	2031.964517	1721.551677	2421.080186	2117.249288
1.62	2028.461100	1713.704899	2416.262362	2107.953308
1.63	2024.984733	1706.358613	2411.459565	2098.710040
1.64	2021.502355	1698.084749	2406.678809	2087.650635
1.65	2018.043020	1690.311626	2401.922097	2078.437722
1.66	2014.590697	1680.829874	2397.176406	2071.095752
1.67	2011.151397	1674.869450	2392.463774	2061.948579
1.68	2007.711097	1667.181178	2387.768174	2050.968572
1.69	2004.292836	1659.529625	2383.092611	2043.726485
1.70	2000.901625	1650.117124	2378.434079	2032.813094
1.71	1997.513419	1643.984086	2373.774545	2021.963688
1.72	1994.121207	1636.717697	2369.150075	2014.740764
1.73	1990.756043	1629.169442	2364.549649	2007.602321
1.74	1987.390880	1619.820749	2359.956237	1998.652502
1.75	1984.053768	1613.163313	2355.385866	1987.836617
1.76	1980.714652	1608.503318	2350.838537	1978.934568
1.77	1977.386557	1597.375239	2346.296218	1970.027406
1.78	1974.075493	1589.942239	2341.792970	1961.172077
1.79	1970.779456	1582.533588	2337.295734	1952.314440
1.80	1967.485423	1576.974508	2332.803506	1943.507331
1.81	1964.208421	1568.299840	2328.348346	1934.697416
1.82	1960.929415	1562.280227	2323.901201	1927.832488
1.83	1957.671448	1553.111927	2319.477099	1915.360824
1.84	1954.432516	1544.387764	2315.059007	1907.507486
1.85	1951.192582	1538.559858	2310.664959	1899.748887
1.86	1947.967676	1531.294465	2306.295957	1891.071912
1.87	1944.744773	1524.550829	2301.929961	1882.418598
1.88	1941.545914	1516.869376	2297.588009	1873.775336
1.89	1938.350061	1511.558034	2293.259080	1865.155190
1.90	1935.171239	1502.523944	2288.954196	1855.294219
1.91	1931.991415	1493.569216	2284.655322	1848.000962
1.92	1928.829624	1486.446350	2280.381495	1839.440991
1.93	1925.681859	1481.183419	2276.119689	1829.067085
1.94	1922.534094	1475.988770	2271.879924	1820.562602
1.95	1919.408369	1467.046436	2267.649175	1813.923191
1.96	1916.281643	1458.168614	2263.440467	1804.386984
1.97	1913.169944	1451.161415	2259.230757	1795.152815
1.98	1910.059246	1446.017308	2255.048096	1786.729669
1.99	1906.977602	1439.054062	2250.892485	1780.196445
2.00	1903.884938	1432.097050	2246.736874	1771.812621
2.01	1900.817320	1425.165181	2242.607311	1761.565331
2.02	1897.764729	1418.140138	2238.489770	1753.228884
2.03	1894.704123	1409.496378	2234.385252	1746.775481
2.04	1891.666560	1402.630439	2230.298768	1736.598049
2.05	1888.625991	1397.649161	2226.222302	1728.304726
2.06	1885.606461	1388.940934	2222.172885	1720.036165
2.07	1882.585929	1384.004512	2218.122467	1712.904434
2.08	1879.593448	1377.207800	2214.099098	1705.434066
2.09	1876.600967	1366.715347	2210.077733	1695.342323
2.10	1873.607485	1360.126209	2206.078408	1687.139461
2.11	1870.641052	1356.942969	2202.109138	1678.162873
2.12	1867.674618	1350.219630	2198.137865	1670.806902
2.13	1864.708185	1341.638883	2194.169597	1662.676310
2.14	1861.768802	1334.949391	2190.236393	1654.550765
2.15	1858.827415	1328.144559	2186.306195	1644.622791
2.16	1855.888031	1321.520367	2182.402045	1638.369173
2.17	1852.975697	1315.013813	2178.497894	1630.305109
2.18	1850.062361	1308.405932	2174.618789	1620.417657
2.19	1847.148024	1299.965794	2170.742690	1613.163592
2.20	1844.261738	1295.234835	2166.893641	1608.105729
