phi	TadV	TadVdiss	TadP	TadPdiss
0.25	1252.538992	0.000000	1522.618645	0.000000
0.26	1283.669007	0.000000	1561.508873	0.000000
0.27	1314.420328	0.000000	1599.852099	0.000000
0.28	1344.771918	0.000000	1637.688397	0.000000
0.29	1374.790898	0.000000	1674.997729	0.000000
0.30	1404.426175	0.000000	1711.874269	0.000000
0.31	1433.713815	0.000000	1748.241876	0.000000
0.32	1462.660832	0.000000	1784.161664	0.000000
0.33	1491.301287	0.000000	1819.640644	0.000000
0.34	1519.587093	0.000000	1854.683826	0.000000
0.35	1547.597394	0.000000	1889.296219	0.000000
0.36	1575.274084	0.000000	1923.510883	0.000000
0.37	1602.670261	0.000000	1957.329823	0.000000
0.38	1629.765887	0.000000	1990.728994	0.000000
0.39	1656.582000	0.000000	2023.768506	0.000000
0.40	1683.121608	0.000000	2056.430326	0.000000
0.41	1709.388716	0.000000	2088.742506	0.000000
0.42	1735.385329	0.000000	2120.678998	0.000000
0.43	1761.143506	0.000000	2152.269857	0.000000
0.44	1786.608145	0.000000	2183.547142	0.000000
0.45	1811.853381	0.000000	2214.457755	0.000000
0.46	1836.834134	0.000000	2245.057799	0.000000
0.47	1861.572442	0.000000	2275.349278	0.000000
0.48	1886.081331	0.000000	2305.309150	0.000000
0.49	1910.362802	0.000000	2334.963462	0.000000
0.50	1934.390810	0.000000	2364.316222	0.000000
0.51	1958.220454	0.000000	2393.367429	0.000000
0.52	1981.799639	0.000000	2422.147140	0.000000
0.53	2005.182465	0.000000	2450.629305	0.000000
0.54	2028.349897	0.000000	2478.814927	0.000000
0.55	2051.299930	0.000000	2506.732058	0.000000
0.56	2074.038576	0.000000	2534.382700	0.000000
0.57	2096.577857	0.000000	2561.766855	0.000000
0.58	2118.929795	0.000000	2588.887526	0.000000
0.59	2141.078360	0.000000	2615.743714	0.000000
0.60	2163.013534	0.000000	2642.337420	0.000000
0.61	2184.772386	0.000000	2668.695696	0.000000
0.62	2206.341891	0.000000	2694.820544	0.000000
0.63	2227.729061	0.000000	2720.684914	0.000000
0.64	2248.924882	0.000000	2746.316859	0.000000
0.65	2269.932357	0.000000	2771.690331	0.000000
0.66	2290.772526	0.000000	2796.859429	0.000000
0.67	2311.452401	0.000000	2821.799106	0.000000
0.68	2331.943932	0.000000	2846.483315	0.000000
0.69	2352.261143	0.000000	2870.988196	0.000000
0.70	2372.414053	0.000000	2895.239613	0.000000
0.71	2392.408674	0.000000	2919.289661	0.000000
0.72	2412.236989	0.000000	2943.139342	0.000000
0.73	2431.889984	0.000000	2966.761606	0.000000
0.74	2451.394707	0.000000	2990.184505	0.000000
0.75	2470.747151	0.000000	3013.408039	0.000000
0.76	2489.935294	0.000000	3036.433210	0.000000
0.77	2508.971159	0.000000	3059.260018	0.000000
0.78	2527.860755	0.000000	3081.888462	0.000000
0.79	2546.592062	0.000000	3104.319545	0.000000
0.80	2565.175097	0.000000	3126.553266	0.000000
