phi	TadV	TadVdiss	TadP	TadPdiss
0.25	1048.985182	0.000000	1268.927007	0.000000
0.26	1073.536147	0.000000	1299.878695	0.000000
0.27	1097.781553	0.000000	1330.367536	0.000000
0.28	1121.665296	0.000000	1360.375496	0.000000
0.29	1145.278544	0.000000	1389.967694	0.000000
0.30	1168.554173	0.000000	1419.124094	0.000000
0.31	1191.569326	0.000000	1447.851709	0.000000
0.32	1214.275913	0.000000	1476.213654	0.000000
0.33	1236.706996	0.000000	1504.159838	0.000000
0.34	1258.868585	0.000000	1531.752374	0.000000
0.35	1280.763686	0.000000	1558.968220	0.000000
0.36	1302.393301	0.000000	1585.811383	0.000000
0.37	1323.770453	0.000000	1612.342976	0.000000
0.38	1344.888130	0.000000	1638.511905	0.000000
0.39	1365.783400	0.000000	1664.376276	0.000000
0.40	1386.429213	0.000000	1689.883993	0.000000
0.41	1406.829577	0.000000	1715.122217	0.000000
0.42	1427.013544	0.000000	1740.038852	0.000000
0.43	1446.986124	0.000000	1764.634900	0.000000
0.44	1466.741306	0.000000	1788.969469	0.000000
0.45	1486.274080	0.000000	1813.016512	0.000000
0.46	1505.593464	0.000000	1836.749980	0.000000
0.47	1524.709475	0.000000	1860.232989	0.000000
0.48	1543.627123	0.000000	1883.453518	0.000000
0.49	1562.365442	0.000000	1906.397540	0.000000
0.50	1580.880352	0.000000	1929.091103	0.000000
0.51	1599.225952	0.000000	1951.534208	0.000000
0.52	1617.376195	0.000000	1973.729860	0.000000
0.53	1635.355123	0.000000	1995.678058	0.000000
0.54	1653.139696	0.000000	2017.379805	0.000000
0.55	1670.749949	0.000000	2038.843115	0.000000
0.56	1688.186885	0.000000	2060.091031	0.000000
0.57	1705.461524	0.000000	2081.125556	0.000000
0.58	1722.575869	0.000000	2101.920642	0.000000
0.59	1739.502871	0.000000	2122.504341	0.000000
0.60	1756.271583	0.000000	2142.876653	0.000000
0.61	1772.893025	0.000000	2163.040584	0.000000
0.62	1789.363190	0.000000	2182.996133	0.000000
0.63	1805.660038	0.000000	2202.743300	0.000000
0.64	1821.800600	0.000000	2222.283087	0.000000
0.65	1837.799903	0.000000	2241.643546	0.000000
0.66	1853.647928	0.000000	2260.826680	0.000000
0.67	1869.353694	0.000000	2279.776386	0.000000
0.68	1884.907180	0.000000	2298.577821	0.000000
0.69	1900.335437	0.000000	2317.173880	0.000000
0.70	1915.611415	0.000000	2335.600629	0.000000
0.71	1930.764168	0.000000	2353.845044	0.000000
0.72	1945.765643	0.000000	2371.917143	0.000000
0.73	1960.643893	0.000000	2389.830952	0.000000
0.74	1975.371867	0.000000	2407.555415	0.000000
0.75	1989.987636	0.000000	2425.103554	0.000000
0.76	2004.467155	0.000000	2442.505426	0.000000
0.77	2018.824451	0.000000	2459.737988	0.000000
0.78	2033.069541	0.000000	2476.819272	0.000000
0.79	2047.167361	0.000000	2493.732249	0.000000
0.80	2061.172011	0.000000	2510.499959	0.000000
0.81	2075.033398	0.000000	2527.113386	0.000000
0.82	2088.797607	0.000000	2543.576539	0.000000
0.83	2102.437589	0.000000	2559.885409	0.000000
0.84	2115.962360	0.000000	2576.052018	0.000000
0.85	2129.363905	0.000000	2592.072359	0.000000
0.86	2142.676286	0.000000	2607.933409	0.000000
0.87	2155.860433	0.000000	2623.674238	0.000000
0.88	2168.948404	0.000000	2639.286833	0.000000
0.89	2181.920162	0.000000	2654.743141	0.000000
0.90	2194.801755	0.000000	2670.055186	0.000000
0.91	2207.567135	0.000000	2685.253021	0.000000
0.92	2220.216302	0.000000	2700.317611	0.000000
0.93	2232.777307	0.000000	2715.252966	0.000000
0.94	2245.250151	0.000000	2730.054074	0.000000
0.95	2257.607785	0.000000	2744.742977	0.000000
0.96	2269.872247	0.000000	2759.290621	0.000000
0.97	2282.031517	0.000000	2773.725058	0.000000
0.98	2294.098618	0.000000	2788.046287	0.000000
0.99	2306.077557	0.000000	2802.228262	0.000000
1.00	2317.970339	2317.970904	2816.297029	2816.297742
1.01	2313.694508	2307.817723	2809.941388	2804.749007
1.02	2309.454743	2297.807631	2803.610794	2793.307896
1.03	2305.214978	2287.795247	2797.293223	2781.890096
1.04	2300.995249	2277.660077	2791.029752	2770.334294
1.05	2296.792552	2267.504641	2784.792328	2758.954796
1.06	2292.613899	2257.552040	2778.580951	2747.598536
1.07	2288.457286	2248.215711	2772.395623	2736.299513
1.08	2284.312695	2238.424499	2766.237344	2725.031234
1.09	2280.172111	2228.315769	2760.127153	2714.184336
1.10	2276.064588	2218.590838	2754.025979	2703.054488
1.11	2271.963076	2208.896087	2747.972893	2691.505495
1.12	2267.868577	2199.268528	2741.946856	2680.415085
1.13	2263.799124	2189.413557	2735.933843	2668.859609
1.14	2259.753715	2180.126397	2729.951887	2658.382968
1.15	2255.715318	2170.632960	2724.008001	2648.051083
1.16	2251.696959	2161.186102	2718.105190	2637.193879
1.17	2247.699638	2151.057244	2712.210393	2625.653473
1.18	2243.708328	2141.660716	2706.341645	2614.818345
1.19	2239.744067	2132.314087	2700.500947	2604.046154
1.20	2235.778805	2123.831785	2694.712345	2593.315584
1.21	2231.840592	2114.614067	2688.922742	2581.774758
1.22	2227.902379	2105.435469	2683.182228	2571.990878
1.23	2223.991215	2096.301135	2677.450731	2562.366426
1.24	2220.106100	2086.210075	2671.742275	2550.831753
1.25	2216.220984	2077.126003	2666.084914	2539.293017
1.26	2212.362918	2069.152834	2660.428554	2528.788640
1.27	2208.503850	2060.173968	2654.825292	2519.427162
1.28	2204.663817	2050.127870	2649.221028	2509.514776
1.29	2200.840815	2042.374519	2643.669861	2498.703204
1.30	2197.034845	2032.347808	2638.118694	2488.409705
1.31	2193.229876	2022.310621	2632.594576	2476.929516
1.32	2189.450955	2014.713870	2627.121552	2467.947722
1.33	2185.699083	2007.267130	2621.651534	2456.468056
1.34	2181.945208	1998.570440	2616.206561	2446.307598
