phi	TadV	TadVdiss	TadP	TadPdiss
1.82	2113.569978	1737.952242	2515.578260	2146.662770
1.83	2110.499354	1731.042400	2511.400608	2138.511003
1.84	2107.427728	1724.157107	2507.223959	2130.378446
1.85	2104.357105	1717.289431	2503.072355	2123.942097
1.86	2101.311527	1710.434604	2498.948803	2115.838048
1.87	2098.266950	1705.263402	2494.824249	2107.759802
1.88	2095.242411	1696.791471	2490.726744	2099.705482
1.89	2092.218873	1689.997552	2486.629239	2088.559394
1.90	2089.211365	1681.621867	2482.557782	2082.001840
1.91	2086.193838	1676.470181	2478.491335	2074.004814
1.92	2083.203361	1669.748433	2474.441918	2067.686933
1.93	2080.210881	1663.029630	2470.421555	2059.730550
1.94	2077.247453	1657.975334	2466.403195	2050.135379
1.95	2074.274007	1648.051827	2462.386839	2043.865031
1.96	2071.317592	1642.995511	2458.395529	2035.956473
1.97	2068.359174	1636.354076	2454.427261	2026.443960
1.98	2065.418789	1629.719643	2450.465004	2017.019087
1.99	2062.492429	1621.526053	2446.499742	2010.739948
2.00	2059.564066	1614.942936	2442.562531	2004.514694
2.01	2056.652734	1610.301605	2438.648362	1996.706395
2.02	2053.740400	1605.003360	2434.736197	1987.307519
2.03	2050.849104	1595.296626	2430.844068	1979.540927
2.04	2047.952800	1588.774267	2426.963962	1970.250547
2.05	2045.078535	1582.269467	2423.077844	1964.041530
2.06	2042.200264	1577.106421	2419.218776	1957.886484
2.07	2039.342029	1569.302967	2415.385756	1948.608371
2.08	2036.483794	1564.392439	2411.552736	1940.915248
2.09	2033.635577	1557.943207	2407.720718	1933.245162
2.10	2030.793372	1549.998107	2403.923764	1927.111400
2.11	2027.963188	1543.583650	2400.133822	1916.449938
2.12	2025.152040	1537.188312	2396.353899	1908.827291
2.13	2022.329871	1530.807357	2392.580989	1902.682491
2.14	2019.523731	1524.550330	2388.820101	1895.082136
2.15	2016.734623	1518.093304	2385.093275	1887.507375
2.16	2013.935497	1512.139386	2381.359437	1879.929708
2.17	2011.157408	1505.450396	2377.638622	1872.376055
2.18	2008.387335	1499.138958	2373.938846	1864.847181
2.19	2005.627280	1491.434737	2370.238068	1855.890234
2.20	2002.875240	1485.153657	2366.564339	1849.809651
