phi	TadV	TadVdiss	TadP	TadPdiss
1.82	1961.424322	1678.162579	2333.646049	2069.167973
1.83	1957.597313	1672.860311	2328.650901	2061.338605
1.84	1953.791342	1666.274293	2323.681800	2051.937824
1.85	1950.001401	1659.728922	2318.722717	2045.752048
1.86	1946.211459	1651.576615	2313.795693	2038.009640
1.87	1942.448568	1645.066858	2308.876684	2028.655259
1.88	1938.684674	1640.179958	2303.968695	2019.413462
1.89	1934.945826	1633.705866	2299.099777	2013.259746
1.90	1931.210986	1625.638587	2294.235869	2007.194594
1.91	1927.492175	1619.195838	2289.398009	1999.541967
1.92	1923.788391	1613.163528	2284.560148	1991.924188
1.93	1920.087613	1609.698370	2279.755348	1982.712059
1.94	1916.398857	1603.333738	2274.964574	1973.591199
1.95	1912.736149	1593.673570	2270.206860	1967.550244
1.96	1909.078450	1587.343675	2265.448144	1961.063338
1.97	1905.427764	1581.022498	2260.716478	1952.482313
1.98	1901.788098	1576.374772	2255.993829	1944.984751
1.99	1898.177485	1568.473433	2251.303238	1937.514194
2.00	1894.559859	1563.850697	2246.611645	1931.657130
2.01	1890.970285	1557.625283	2241.947102	1922.596252
2.02	1887.368688	1549.768514	2237.293579	1913.629567
2.03	1883.793140	1543.566775	2232.667105	1907.507211
2.04	1880.236626	1537.390634	2228.052654	1900.391643
2.05	1876.684119	1531.236626	2223.467256	1893.976720
2.06	1873.131613	1525.111215	2218.872841	1885.676357
2.07	1869.606156	1518.980290	2214.319502	1878.351244
2.08	1866.089716	1512.884923	2209.772173	1871.041802
2.09	1862.580288	1508.472282	2205.223843	1863.756405
2.10	1859.083884	1500.745249	2200.719593	1855.293571
2.11	1855.608519	1493.080815	2196.212338	1849.228843
2.12	1852.135158	1487.049219	2191.740147	1841.993988
2.13	1848.660794	1481.888342	2187.271964	1834.787416
2.14	1845.214483	1478.368825	2182.822815	1826.037156
2.15	1841.768171	1472.387791	2178.387692	1819.991407
2.16	1838.346905	1464.740348	2173.968599	1813.257557
2.17	1834.926640	1457.188907	2169.556518	1804.540821
2.18	1831.506376	1451.255119	2165.166477	1797.428890
2.19	1828.113161	1446.986042	2160.804488	1790.318915
2.20	1824.718945	1440.282243	2156.440496	1783.786477
